,Date,Time,Latitude,Longitude,Depth,Magnitude,Year,Month,Country,Continent,MagGroup,DepthGroup,Tecto-setting,region
949,1968-06-03,0 days 14:16:19,45.445,148.584,155.0,5.6,1968,6,Russia,Europe,0.0,Intermediate,Transform,NorthAmerican-Pacific
950,1968-06-07,0 days 11:57:34,-1.916,120.094,35.0,6.7,1968,6,Indonesia,Asia,1.0,Shallow,Convergent,Philippine-Eurasian
951,1968-06-07,0 days 21:30:55,-2.078,120.462,38.0,6.2,1968,6,Indonesia,Asia,1.0,Shallow,Convergent,Philippine-Eurasian
952,1968-06-08,0 days 00:16:39,-8.74,157.558,15.0,5.7,1968,6,Solomon Islands,Oceania,0.0,Shallow,Convergent,Australian-Pacific
953,1968-06-08,0 days 05:29:48,43.54,147.096,40.0,5.9,1968,6,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
954,1968-06-08,0 days 23:24:03,-48.946,31.122,15.0,6.2,1968,6,Undefined,Undefined,1.0,Shallow,Divergent,Antarctic-African
955,1968-06-10,0 days 12:41:07,56.28,-161.493,186.1,5.7,1968,6,Undefined,Undefined,0.0,Intermediate,Transform,NorthAmerican-Pacific
956,1968-06-12,0 days 13:41:53,39.503,143.07,32.1,7.0,1968,6,Undefined,Undefined,2.0,Shallow,Convergent,Philippine-Eurasian
957,1968-06-12,0 days 20:15:49,-0.591,132.909,35.0,5.7,1968,6,Indonesia,Asia,0.0,Shallow,Convergent,Australian-Eurasian
958,1968-06-12,0 days 21:57:42,39.362,142.955,27.5,6.3,1968,6,Undefined,Undefined,1.0,Shallow,Convergent,Philippine-Eurasian
959,1968-06-13,0 days 11:56:24,39.235,143.187,30.0,5.6,1968,6,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Eurasian
960,1968-06-13,0 days 21:10:37,39.421,143.097,30.0,6.2,1968,6,Undefined,Undefined,1.0,Shallow,Convergent,Philippine-Eurasian
961,1968-06-14,0 days 11:52:39,39.306,142.992,24.5,5.7,1968,6,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Eurasian
962,1968-06-14,0 days 12:17:25,45.25,153.351,10.0,5.7,1968,6,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
963,1968-06-15,0 days 05:59:05,26.88,126.514,140.0,5.6,1968,6,Undefined,Undefined,0.0,Intermediate,Convergent,Philippine-Eurasian
964,1968-06-15,0 days 07:08:49,5.591,-82.549,10.0,6.2,1968,6,Undefined,Undefined,1.0,Shallow,Convergent,Carribean-Cocos
965,1968-06-15,0 days 11:27:33,51.633,159.325,30.0,5.7,1968,6,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
966,1968-06-16,0 days 19:14:05,-53.827,8.766,10.0,5.9,1968,6,Undefined,Undefined,0.0,Shallow,Divergent,Antarctic-African
967,1968-06-17,0 days 11:53:01,41.054,143.259,37.6,6.3,1968,6,Undefined,Undefined,1.0,Shallow,Convergent,Philippine-Eurasian
968,1968-06-17,0 days 18:09:37,-12.301,166.567,50.0,6.3,1968,6,Undefined,Undefined,1.0,Shallow,Convergent,Australian-Pacific
969,1968-06-17,0 days 18:57:30,38.745,143.918,25.0,6.4,1968,6,Undefined,Undefined,1.0,Shallow,Convergent,Philippine-Eurasian
970,1968-06-19,0 days 08:13:35,-5.61,-77.086,15.0,6.8,1968,6,Peru,South America,1.0,Shallow,Convergent,Carribean-Cocos
971,1968-06-19,0 days 19:58:03,-44.054,-75.583,20.0,5.8,1968,6,Undefined,Undefined,0.0,Shallow,Convergent,SouthAmerican-Nazca
972,1968-06-20,0 days 02:38:37,-5.573,-77.184,15.0,5.7,1968,6,Peru,South America,0.0,Shallow,Convergent,Carribean-Cocos
973,1968-06-21,0 days 00:26:08,-5.705,-77.258,15.0,5.7,1968,6,Peru,South America,0.0,Shallow,Convergent,Carribean-Cocos
974,1968-06-22,0 days 01:12:33,40.406,143.767,18.2,6.1,1968,6,Undefined,Undefined,1.0,Shallow,Convergent,Philippine-Eurasian
975,1968-06-25,0 days 23:33:20,39.585,143.587,20.7,5.8,1968,6,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Eurasian
976,1968-06-26,0 days 10:23:51,42.037,142.897,45.0,5.8,1968,6,Japan,Asia,0.0,Shallow,Convergent,Philippine-Eurasian
977,1968-06-26,0 days 15:40:31,-22.207,171.315,80.0,5.9,1968,6,France,Europe,0.0,Intermediate,Convergent,Australian-Pacific
978,1968-07-01,0 days 10:45:12,35.999,139.348,60.6,6.1,1968,7,Japan,Asia,1.0,Shallow,Convergent,Philippine-Eurasian
979,1968-07-02,0 days 03:44:52,17.515,-100.273,57.9,6.4,1968,7,Mexico,North America,1.0,Shallow,Convergent,Carribean-Cocos
980,1968-07-02,0 days 04:30:53,-29.915,-177.69,55.0,5.7,1968,7,Undefined,Undefined,0.0,Shallow,Convergent,Australian-Pacific
981,1968-07-02,0 days 18:40:10,-2.712,138.891,45.0,6.0,1968,7,Indonesia,Asia,0.0,Shallow,Convergent,Australian-Eurasian
982,1968-07-05,0 days 11:28:14,38.478,142.153,47.0,6.3,1968,7,Undefined,Undefined,1.0,Shallow,Convergent,Philippine-Eurasian
983,1968-07-06,0 days 19:29:00,-6.477,133.887,55.0,5.8,1968,7,Indonesia,Asia,0.0,Shallow,Convergent,Australian-Eurasian
984,1968-07-10,0 days 11:16:45,-36.772,78.413,15.0,6.0,1968,7,Undefined,Undefined,0.0,Shallow,Divergent,Australian-Antarctic
985,1968-07-10,0 days 20:40:31,40.211,143.472,20.0,5.9,1968,7,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Eurasian
986,1968-07-12,0 days 00:44:37,39.554,143.238,21.8,6.0,1968,7,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Eurasian
987,1968-07-12,0 days 03:56:28,39.623,143.277,19.9,6.0,1968,7,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Eurasian
988,1968-07-17,0 days 05:24:15,-8.619,125.008,12.4,5.9,1968,7,East Timor,Asia,0.0,Shallow,Convergent,Australian-Eurasian
989,1968-07-19,0 days 04:56:26,8.727,93.626,15.0,5.8,1968,7,India,Asia,0.0,Shallow,Convergent,Indian-Eurasian
990,1968-07-21,0 days 06:09:42,-3.112,150.6,15.0,5.7,1968,7,Papua New Guinea,Oceania,0.0,Shallow,Convergent,Australian-Pacific
991,1968-07-22,0 days 05:09:14,-54.73,1.5,10.0,6.0,1968,7,Undefined,Undefined,0.0,Shallow,Divergent,Antarctic-African
992,1968-07-22,0 days 17:58:33,-20.154,169.011,38.4,5.6,1968,7,Undefined,Undefined,0.0,Shallow,Convergent,Australian-Pacific
993,1968-07-23,0 days 23:02:39,40.387,143.505,26.7,6.0,1968,7,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Eurasian
994,1968-07-25,0 days 07:23:07,-30.725,-178.217,45.0,7.3,1968,7,Undefined,Undefined,2.0,Shallow,Convergent,Australian-Pacific
995,1968-07-25,0 days 10:50:33,45.558,146.861,17.3,5.8,1968,7,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
996,1968-07-27,0 days 10:51:32,-19.188,176.024,15.0,5.7,1968,7,Undefined,Undefined,0.0,Shallow,Convergent,Australian-Pacific
997,1968-07-28,0 days 21:12:40,55.42,166.565,23.6,6.1,1968,7,Russia,Europe,1.0,Shallow,Transform,NorthAmerican-Pacific
998,1968-07-29,0 days 11:12:02,-22.531,-174.86,45.0,6.3,1968,7,Undefined,Undefined,1.0,Shallow,Convergent,Australian-Pacific
999,1968-07-29,0 days 23:52:18,-0.291,133.409,20.0,6.2,1968,7,Indonesia,Asia,1.0,Shallow,Convergent,Australian-Eurasian
